station_id,station_name,city,source_note
132,Urhea-kampus,Helsinki,HSL app 2026-09
103,Korppaantie,Helsinki,HSL app 2026-09
710,Kössi Koskisen aukio,Espoo,HSL app 2026-09
*40,Puotila,Helsinki,Trips 06-2025 & Map(approximately)
349,Postiljooninkatu,Helsinki,HSL app 2026-09
343,Koetilankuja,Helsinki,HSL app 2026-09
716,Vermo,Espoo,HSL app 2026-09
626,Tynnyritie,Espoo,HSL app 2026-09
583,Haukilahdensolmu,Espoo,HSL app 2026-09
345,Kruunuvuorenrannan lautta,Helsinki,HSL app 2026-09
735,Mestarinkatu,Espoo,HSL app 2026-09
754,Lintumetsä,Helsinki,HSL app 2026-09
768,Kurkijoentie,Espoo,Trips 06-2025 & Map(approximately)
